,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Population.1,Graduate_Education,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Male_Literate,zone,Main_Workers,Positive,Age_Group_50,Having_latrine_facility_within_the_premises_Total_Households,NumCommunityHealthCenters_HMIS,recovered,NumRuralBeds_NHP18,Sikhs,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Literate,Age_not_stated,Total_Education,Households_with_Bicycle,Higher_Education,Households_with_Telephone_Mobile_Phone,Muslims,Households_with_separate_kitchen_Cooking_inside_house,Married_couples_4_Households,Workers,Other_Workers,Households_with_Television,Age_Group_0_29,Other_Education,Area,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Households_with_Radio_Transistor,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,type_Collection Site,Married_couples_5__Households,Agricultural_Workers,Households_with_Computer,Buddhists,Condition_of_occupied_census_houses_Dilapidated_Households,Total_Power_Parity,Households_with_Telephone_Mobile_Phone_Landline_only,Female,Illiterate_Education,Power_Parity_Less_than_Rs_45000,Housholds_with_Electric_Lighting,Married_couples_3_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Jains,NumDistrictHospitals_HMIS,Male_Workers,Location_of_drinking_water_source_Near_the_premises_Households,Households,Rural_population,District_code,Cultivator_Workers,Households_with_Telephone_Mobile_Phone_Both,Age_Group_30_49,Ownership_Owned_Households,Marginal_Workers,Household_size_5_persons_Households,Households_with_Car_Jeep_Van,Power_Parity_Rs_45000_90000,Ownership_Rented_Households,Household_size_3_to_5_persons_Households,confirmed,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Location_of_drinking_water_source_Away_Households,type_Private Laboratory,Gender_Ratio,Main_source_of_drinking_water_Tapwater_Households,Others_Religions,active,Power_Parity_Rs_45000_150000,Household_size_2_persons_Households,Type_of_latrine_facility_Other_latrine_Households,Power_Parity_Rs_425000_545000,Middle_Education,Power_Parity_Rs_240000_330000,Having_bathing_facility_Total_Households,Urban_Households,deceased,Married_couples_1_Households,Female_ST,Negative,Power_Parity_Above_Rs_545000,Households_with_Scooter_Motorcycle_Moped,Household_size_1_to_2_persons,Household_size_9_persons_and_above_Households,NumUrbanBeds_NHP18,Household_size_3_persons_Households,type_Government Laboratory,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Main_source_of_drinking_water_Other_sources_Households,Urban_population,NumPrimaryHealthCenters_HMIS,Power_Parity_Rs_150000_330000,Religion_Not_Stated,Male_ST,Power_Parity_Rs_330000_425000,SC,Female_SC,NumPublicBeds_HMIS,Household_size_1_person_Households,Male_SC,Main_source_of_drinking_water_Un_covered_well_Households,ST,Female_Workers,Household_size_6_8_persons_Households,Primary_Education,Married_couples_None_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Density,Power_Parity_Rs_150000_240000,Households_with_Telephone_Mobile_Phone_Mobile_only,TotalSamples,Households_with_Internet,Type_of_latrine_facility_Pit_latrine_Households,Non_Workers,Household_Workers,Hindus,Power_Parity_Rs_90000_150000,LPG_or_PNG_Households,TotalPublicHealthFacilities_HMIS,Power_Parity_Rs_330000_545000,Not_having_bathing_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_River_Canal_Households,Male,Married_couples_2_Households,NumUrbanHospitals_NHP18,Secondary_Education,NumRuralHospitals_NHP18,Female_Literate,Nationality,Population,NumSubDistrictHospitals_HMIS,Christians,Location_of_drinking_water_source_Within_the_premises_Households,Below_Primary_Education,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Household_size_4_persons_Households,Literate_Education,Married_couples_3_or_more_Households,Rural_Households
0,0,Bihar,Buxar,3,1,0,1706352,64117,94,3437,593544,3,328547,115,253998,64826,63,0,6083,248,194429,989807,2228,1802491,137996,89306,174119,105423,244087,9136,538322,127938,48405,1074754,5224,"94,163",240965,78643,2034,0,5116,251790,19324,5090,27055,1556,7107,818375,457814,392,46760,23401,4002,97,43,402180,54463,334657,92341436,232,132472,4408,375372,254972,209775,40198,5341,653,4718,88936,8,3597,19459,0,918,10728,57,8,966,15443,1201,19,256124,8,130771,35405,0,144919,12722,2299,25,26325,20068,56545,5936,18203,6,2628,92957,3395,11758016,2007,143,1858,14102,12,251737,119916,17796,4625,131821,4471,26824,136142,96849,420187,20387,589,"1,102",135,162604,11999,1784,3645,1168030,26122,1591454,313,27362,2146,31,131627,212,887977,59439,103,178044,930,396263,India,104099452,33,2125,188476,331675,301,30535,1344677,37653,299252
1,0,Bihar,Munger,4,3,0,1367765,64469,118,7168,473741,3,233402,115,188319,102385,63,0,6083,338,158542,801817,2586,1348410,112707,101907,149671,110416,236192,1638,426658,167566,69973,860147,4394,"94,163",184033,56958,2838,0,463,196449,17946,95,20065,1424,6558,638724,498676,287,90461,6965,6270,145,43,327453,93833,308063,92341436,226,45953,4853,316713,248457,193256,52077,3755,554,11182,130791,27,13116,43505,0,918,20237,61,27,861,23445,2634,46,146414,20,109560,85782,0,199555,10409,2299,42,24259,28389,18796,5936,30778,6,1855,59858,4871,11758016,2007,157,2576,10995,29,183846,86651,17796,4944,97195,48900,21404,99205,85773,158699,21424,1030,"1,102",137,138260,11999,2653,12592,941107,16690,1252319,307,49141,2146,75,154189,862,729041,33704,103,147152,930,328076,India,104099452,33,1815,126411,226699,419,47936,849734,9066,222281
2,0,Bihar,Patna,0,1,0,5838465,452340,463,90643,2028047,3,1371267,115,815638,507581,63,0,6083,4803,433555,3459679,13609,7511199,430595,463361,662665,439952,899309,18736,1881886,867118,453344,3626564,46126,"94,163",666585,227469,61156,0,7766,658203,132582,1062,71080,7065,38617,2759953,2590473,1091,546859,60090,17401,2151,43,1436411,252246,1210094,92341436,230,271216,33562,1382654,829728,510619,175456,49821,2325,104162,411646,8,24702,97253,0,918,231255,203,8,4202,60489,7981,293,920051,129,562795,552103,0,609661,4352,2299,476,176114,78118,139437,5936,83095,6,11250,223867,14948,11758016,2007,821,21668,4717,180,920918,438830,17796,17629,482088,32808,9069,445475,328240,1095655,77267,4474,"1,102",692,590486,11999,40692,33740,3956579,85349,5356075,1877,321307,2146,473,394646,885,3078512,183921,103,698351,930,1431632,India,104099452,33,12551,607942,1244842,1105,153095,4920726,86592,657991
3,0,Bihar,Rohtas,1,0,0,2959918,161555,121,5158,1061783,3,542439,115,407193,128652,63,0,6083,2569,322377,1799832,3809,3065196,224824,194928,312557,300487,432151,13663,924879,252736,106218,1875174,16006,"94,163",412516,123491,4727,0,7318,405544,36279,1584,28748,1555,12400,1416372,876443,299,114893,37743,6761,252,43,707939,73129,608061,92341436,234,218087,8169,673742,433720,382440,75928,10819,588,15995,166203,1,6234,26201,0,918,25242,537,1,951,27143,2969,45,399053,20,248462,95678,0,260042,15251,2299,46,49892,35246,87548,5936,32977,6,5119,163333,5613,11758016,2007,187,6185,16399,28,549546,262950,17796,8103,286596,8126,31650,216940,166881,548971,33837,1544,"1,102",167,291988,11999,4594,5419,2035039,48512,2645415,363,41659,2146,73,207416,556,1543546,103275,103,333053,930,738049,India,104099452,33,2889,356548,535187,471,57298,2188753,58724,512383
4,0,Karnataka,Dakshina Kannada,1,0,0,2089649,185916,2291,34891,864019,2,914476,418,407902,394069,207,0,21072,525,29334,1666323,880,2017329,69944,178989,375945,501896,416185,2820,997721,746430,285365,1072417,36295,"191,791",37994,147263,31907,0,662,29274,55233,445,11507,3959,42129,1054935,298846,340,386300,12553,18107,10397,42,620903,57564,650292,37469335,575,33810,102433,608450,359286,83245,79757,47655,884,55501,255603,16,2859,30556,5,973,185763,138,16,1935,36967,368,360,296110,159,404062,317373,0,289936,41307,22222,461,97610,51207,30620,49093,65931,12,289,11274,5299,23625962,2547,642,996,40961,222,148178,74854,56333,14240,73324,172955,82268,376818,87861,520715,69632,87,319,483,231383,26233,23305,89910,1091928,188207,1403854,1051,175270,2943,582,21229,1988,1034714,49688,374,309141,2471,802304,India,61095297,147,171398,337171,191317,8529,109915,1718483,16035,332919
5,0,Kerala,Kannur,1,9,0,2523003,217203,10820,12764,1012956,3,694209,426,588081,530436,229,48,16865,424,9535,2138434,5761,2569458,66300,308670,503214,742483,533052,3317,824116,691704,423337,1187177,40277,"38,863",13746,239332,34105,0,809,82988,83940,1118,19594,4432,62097,1341557,279352,536,511167,15978,24306,193,53,609377,63511,872479,17471135,589,36549,193231,741984,507341,129907,93855,44108,1272,28563,330674,102,33042,39088,2,1084,63652,722,54,2564,54436,247,370,491844,373,497016,566191,0,350621,21230,19442,49,76530,74153,36672,21139,87111,10,143,9532,9712,15934926,933,632,5945,20141,281,83350,43090,39511,19717,40260,397151,41371,214739,101710,487016,100283,206,859,259,247886,20252,32653,117871,1698887,12875,1509592,1292,115356,1297,651,46193,181,1181446,72201,299,540383,981,1125478,India,33406061,82,262526,440610,204713,3593,149708,2290106,20104,306288
6,0,Kerala,Kasaragod,0,3,0,1307375,76192,6714,35578,516476,2,372700,426,246975,245747,229,146,16865,151,18973,1037492,1754,1281215,27736,122657,239445,486913,261196,1776,462998,375996,179664,688763,16585,"38,863",40573,75335,12210,0,385,38774,32484,362,15463,1988,32813,678762,212905,305,237670,8442,22951,130,53,325095,40315,417805,17471135,588,23732,95824,369883,240351,90298,49989,19438,607,22502,157758,172,17019,31854,2,1084,36736,152,26,1188,22720,380,80,230416,183,236961,166164,0,179252,24907,19442,28,34267,31012,20652,21139,39574,10,89,6820,8940,15934926,933,309,2226,23950,78,53283,26898,39511,8292,26385,157785,48857,137903,58340,268084,44156,189,859,126,110808,20252,10378,57109,844377,24496,729987,581,74092,1297,158,30801,505,628613,33751,299,238900,981,521016,India,33406061,82,87454,195593,115476,6792,68195,1068310,10603,251641
7,0,Kerala,Kollam,0,1,0,2635375,233402,1564,4608,1074345,2,695299,426,660965,626758,229,4,16865,208,26860,2240273,1806,2573249,157906,307950,569631,508500,640554,765,912025,741628,525754,1177359,64052,"38,863",5294,124857,42989,0,59,92193,83133,272,43764,3910,98910,1388407,231286,667,630767,9101,21017,63,53,644362,64485,925130,17471135,600,56693,192362,795245,597009,216726,112992,58867,1228,51410,466519,10,27096,30236,2,1084,179861,619,6,2284,76792,2108,126,562529,351,532705,401415,0,455971,5566,19442,103,144080,103503,9485,21139,132475,10,218,51525,16037,15934926,933,646,6480,5195,84,328263,170462,39511,26711,157801,331377,10761,267663,83769,406592,114087,1558,859,295,278359,20252,31542,247868,1723350,21511,1697635,1056,263148,1297,210,130571,249,1246968,83293,299,595191,981,1165928,India,33406061,82,421598,568555,172247,3167,221052,2341963,9925,523715
8,0,Kerala,Malappuram,0,1,0,4112920,203779,4784,22831,1597404,2,852047,426,662311,754074,229,14,16865,205,14558,3311315,3243,4194431,96908,392867,720497,2888849,739014,9238,1062424,869029,485406,2406005,41344,"38,863",25795,207137,43503,0,1724,117405,119918,179,26689,4838,77464,2152592,622345,1156,730119,40822,26145,68,53,898157,95071,1157129,17471135,592,57567,218598,1041361,719609,210377,163389,59145,1776,47021,425449,21,23025,50719,2,1084,115058,579,7,2668,49957,269,111,814285,265,692169,522586,0,482615,11718,19442,83,138096,69135,79209,21139,92845,10,297,23144,19300,15934926,933,745,6225,11272,73,308266,156709,39511,19178,151557,508118,22990,164267,200802,770417,115399,215,859,480,424435,20252,27909,212489,3050496,18423,1135259,892,139994,1297,184,82426,509,1960328,124797,299,933793,981,1713911,India,33406061,82,81556,628805,415601,1552,169215,3572086,51784,634543
9,0,Kerala,Palakkad,0,3,0,2809934,180540,6019,33936,1122600,2,875540,426,608966,564142,229,6,16865,220,59099,2239492,3135,2811603,101999,232109,533223,812936,592131,3683,1042340,699551,447169,1395222,36370,"38,863",35861,165350,36289,0,688,249949,69440,238,30589,3929,44746,1450456,439934,692,587583,19925,19240,78,53,746121,124408,894341,17471135,593,67805,136371,802611,575878,166800,121324,43458,1253,39417,394623,12,16725,53441,2,1084,269352,400,6,2331,62135,718,90,608176,384,511877,228442,0,419607,24658,19442,78,145549,89212,31984,21139,98388,10,154,26211,9094,15934926,933,678,5685,24314,60,403833,206382,39511,27077,197451,257588,48972,296219,112468,492864,98607,455,859,294,352106,20252,27162,228307,1767594,25035,1875980,1078,178386,1297,150,116410,2587,1359478,85777,299,572412,981,1116892,India,33406061,82,114397,450438,249198,1540,174911,2371669,24296,665899
10,1,Bihar,Banka,0,1,0,2034763,35767,329,2243,590961,2,374097,136,278863,46555,63,0,6083,139,330510,965321,2585,2094476,159201,63103,181116,250925,341709,3613,771080,109346,32859,1291235,3922,"94,163",253728,78757,1339,0,1109,462614,22300,113,25641,1738,6235,967623,879831,510,62359,14195,11712,94,43,517817,161124,444096,92341436,225,172440,3983,462080,372571,396983,74513,3258,764,3728,181580,1,5766,109898,0,918,15071,1035,1,1089,32221,908,8,196305,4,88429,18492,0,272892,44531,2299,10,24398,38997,31266,5936,41314,6,9460,65488,5121,11758016,2007,116,3664,45901,5,247858,118195,17796,6776,129663,94533,90432,253263,128170,386707,25148,475,"1,102",112,170898,12978,1704,3944,1263683,26680,1772655,325,15459,2146,13,291584,5796,1067140,63056,103,120653,930,374360,India,104099452,33,6138,108991,408188,466,65753,1214645,18917,425604
11,1,Bihar,Bhagalpur,1,3,0,3037766,118843,208,30554,937669,2,534129,136,397654,189954,63,1,6083,415,362961,1573066,12573,3116132,220531,154643,308044,537098,447618,3692,983528,312678,117040,1952879,16119,"94,163",437176,131976,8210,0,1160,475228,46929,180,48643,2814,13542,1422103,1139715,667,174534,14964,16767,1050,43,740056,209060,653161,92341436,224,135161,10349,674660,540365,449399,105148,8644,1127,13460,264904,5,28147,104069,0,918,45919,32,4,1720,49203,4187,69,300767,30,208730,130634,0,430436,31635,2299,70,47618,59018,48168,5936,63325,6,8046,119362,14245,11758016,2007,245,7569,35545,42,318569,148902,17796,9815,169667,58207,67180,243472,191216,524322,41388,1904,"1,102",215,284153,12978,6764,33566,2054238,60461,2487866,593,63241,2146,111,354576,1431,1615663,71666,103,247079,930,635397,India,104099452,33,3556,250177,614644,883,96431,1976417,19816,522527
12,1,Bihar,Nalanda,1,1,0,2877653,133032,325,6072,919558,2,740949,136,403129,149675,63,2,6083,393,330701,1519933,3199,3309573,121583,177358,273472,198033,444936,10089,1045420,237574,87070,1829128,11159,"94,163",390009,81505,3720,0,4144,534021,43848,414,44622,2578,12973,1380593,1324385,624,101378,32597,12252,561,43,703405,164405,616663,92341436,229,221240,9650,642197,464186,304471,83371,7955,1064,17540,191481,29,12505,99223,0,918,38617,64,27,1587,33798,3402,51,320839,22,180298,102522,0,297609,714,2299,48,29239,43622,76349,5936,39387,6,7136,122948,10732,11758016,2007,238,6435,728,31,607672,292432,17796,9824,315240,38426,1442,342015,175870,486266,43233,1462,"1,102",216,250849,12978,4156,18056,1832233,52585,2669775,523,43761,2146,82,307024,303,1497060,99650,103,274556,930,600375,India,104099452,33,1978,223694,581978,892,68723,1985188,46830,514141
13,1,Bihar,Patna,0,5,0,5838465,452340,463,90643,2028047,3,1371267,136,815638,507581,63,5,6083,4803,433555,3459679,13609,7511199,430595,463361,662665,439952,899309,18736,1881886,867118,453344,3626564,46126,"94,163",666585,227469,61156,0,7766,658203,132582,1062,71080,7065,38617,2759953,2590473,1091,546859,60090,17401,2151,43,1436411,252246,1210094,92341436,230,271216,33562,1382654,829728,510619,175456,49821,2325,104162,411646,16,24702,97253,0,918,231255,203,11,4202,60489,7981,293,920051,129,562795,552103,0,609661,4352,2299,476,176114,78118,139437,5936,83095,6,11250,223867,14948,11758016,2007,821,21668,4717,180,920918,438830,17796,17629,482088,32808,9069,445475,328240,1095655,77267,4474,"1,102",692,590486,12978,40692,33740,3956579,85349,5356075,1877,321307,2146,473,394646,885,3078512,183921,103,698351,930,1431632,India,104099452,33,12551,607942,1244842,1105,153095,4920726,86592,657991
14,1,Kerala,Kannur,2,5,0,2523003,217203,10820,12764,1012956,3,694209,437,588081,530436,229,48,16865,424,9535,2138434,5761,2569458,66300,308670,503214,742483,533052,3317,824116,691704,423337,1187177,40277,"38,863",13746,239332,34105,0,809,82988,83940,1118,19594,4432,62097,1341557,279352,536,511167,15978,24306,193,53,609377,63511,872479,17471135,589,36549,193231,741984,507341,129907,93855,44108,1272,28563,330674,109,33042,39088,2,1084,63652,722,61,2564,54436,247,370,491844,373,497016,566191,0,350621,21230,19998,49,76530,74153,36672,21139,87111,10,143,9532,9712,15934926,933,632,5945,20141,281,83350,43090,39511,19717,40260,397151,41371,214739,101710,487016,100283,206,859,259,247886,20821,32653,117871,1698887,12875,1509592,1292,115356,1297,651,46193,181,1181446,72201,299,540383,981,1125478,India,33406061,82,262526,440610,204713,3593,149708,2290106,20104,306288
15,1,Kerala,Kottayam,1,0,0,1974551,221350,6936,6897,861592,3,604553,437,565048,464124,229,3,16865,204,12340,1749798,1548,1927701,76041,280720,451226,126499,467182,298,735735,604169,406922,811653,52339,"38,863",7562,117604,50903,0,21,63052,83999,358,19478,3071,57483,1006262,134393,481,464039,5858,26930,83,53,530322,71856,678161,17471135,597,49991,202339,596302,434540,131182,95420,73096,918,37276,330354,4,25137,58162,2,1084,110023,565,1,1811,54557,509,70,373998,276,416985,196194,0,346188,10998,19998,88,122177,70095,6001,21139,84509,10,168,15549,15927,15934926,933,517,4636,10974,105,153909,78406,39511,15538,75503,177265,21972,205413,74003,271496,55261,290,859,241,191404,20821,37849,149689,1238816,18523,983598,893,187213,1297,175,63468,730,968289,72827,299,475724,981,888206,India,33406061,82,858608,350435,117681,3337,150425,1793308,6177,481967
16,1,Kerala,Malappuram,1,0,0,4112920,203779,4784,22831,1597404,2,852047,437,662311,754074,229,14,16865,205,14558,3311315,3243,4194431,96908,392867,720497,2888849,739014,9238,1062424,869029,485406,2406005,41344,"38,863",25795,207137,43503,0,1724,117405,119918,179,26689,4838,77464,2152592,622345,1156,730119,40822,26145,68,53,898157,95071,1157129,17471135,592,57567,218598,1041361,719609,210377,163389,59145,1776,47021,425449,22,23025,50719,2,1084,115058,579,8,2668,49957,269,111,814285,265,692169,522586,0,482615,11718,19998,83,138096,69135,79209,21139,92845,10,297,23144,19300,15934926,933,745,6225,11272,73,308266,156709,39511,19178,151557,508118,22990,164267,200802,770417,115399,215,859,480,424435,20821,27909,212489,3050496,18423,1135259,892,139994,1297,184,82426,509,1960328,124797,299,933793,981,1713911,India,33406061,82,81556,628805,415601,1552,169215,3572086,51784,634543
17,1,Punjab,Amritsar,0,2,0,2490656,142399,99,127669,932981,2,787254,257,436496,379230,146,1,5805,1716935,96836,1684770,1980,2025810,286368,203656,379572,12502,458184,2777,917856,629998,413460,1384987,15879,"50,362",253217,71084,49521,0,488,121599,63864,876,31025,6979,26625,1172248,540010,262,461231,19372,7674,3152,28,735195,26122,660953,17344192,49,124617,39155,667193,430041,130602,110436,56185,1025,41576,276797,14,10552,6683,2,895,218410,1044,11,2607,27743,5843,990,283819,576,430958,385476,2,324471,0,7100,1012,225063,36730,28732,12128,53282,3,196,102374,7144,10399146,521,1399,10864,0,709,770864,364887,13527,8987,405977,291,0,182661,138044,313874,45325,4725,550,823,313792,7887,29961,43459,1572800,41642,690939,1582,279993,742,1699,49345,255,1318408,87870,172,328229,510,751789,India,27743338,47,54344,447498,197944,176,113079,1485800,22637,275477
18,1,Tamil Nadu,Ariyalur,0,2,0,754894,57524,347,8599,269582,2,272241,1629,157771,35933,385,0,40179,104,158588,480604,536,766139,104900,53934,134358,7942,159746,87,359851,72138,165150,380484,16126,"130,058",14696,36609,3046,0,9,166837,8371,88,6348,1258,5367,380191,233438,196,177502,1243,2237,65,32,212547,152795,254277,37229590,616,107312,7216,216103,181005,87610,37933,2937,518,14004,125800,5,1950,12471,10,996,173304,42,5,752,30209,588,44,113437,108,40121,30322,0,146444,5448,49506,18,40913,43195,1353,37353,35012,16,197,10906,1006,34917440,1854,229,853,5274,19,176230,88154,72616,12986,88076,7201,10722,147304,27758,134123,31577,153,555,121,121775,59023,1749,4701,395043,13564,708397,234,39642,2581,63,157985,275,374703,18746,525,96860,692,211022,India,72147030,310,37403,32840,60697,609,52855,532701,1339,223955
19,1,Tamil Nadu,Chennai,4,11,0,4646732,905515,1061,43461,1968079,3,1619554,1629,899279,1057802,385,99,40179,2851,6553,3776276,6894,4061097,409796,464207,1017122,439270,1092062,1926,1817297,1751824,1055696,2271657,67277,"130,058",170162,398414,264763,0,414,13674,355838,2804,9435,15742,114191,2310888,419065,471,1096334,15288,19543,51708,32,1369302,245763,1314125,37229590,603,14454,214074,1468902,522493,197743,182588,146388,2117,565934,798018,378,2587,16519,10,996,908587,1759,279,5802,139139,3927,1214,720331,1866,1073399,1314125,0,859219,4854,49506,3686,515581,169721,15916,37353,237897,16,619,15930,18353,34917440,1854,3820,38356,5207,748,779667,390666,72616,30582,389001,3500,10061,447995,122912,516445,118340,2888,555,1954,688857,59023,217368,7440,2829435,37345,3751322,3685,910262,2581,1962,33168,49,2335844,111380,525,801050,692,1808197,India,72147030,310,358662,844285,167207,80,377533,3642032,17628,0
20,1,Tamil Nadu,Kancheepuram,1,0,0,3998252,526886,1413,129924,1611461,3,1367378,1629,715895,651240,385,0,40179,1620,323242,3013382,5581,3546183,425865,312208,832716,173785,822329,1025,1673814,1257225,904619,2076492,67354,"130,058",163172,240359,137686,0,155,272514,200738,990,13344,8349,63983,1985294,678374,541,961161,10013,32942,4962,32,1181308,496248,1213504,37229590,604,89343,103399,1200284,700252,306436,179266,68427,1993,281627,701330,10,9949,61890,10,996,732354,756,10,3958,128984,9902,832,608188,560,805076,774705,0,761575,20605,49506,797,418526,166082,11202,37353,196143,16,475,132855,26856,34917440,1854,1698,21978,20605,522,948081,473817,72616,37098,474264,39231,41210,492506,115195,535947,123421,5912,555,1138,665334,59023,100322,51093,2324438,54732,3537399,1965,622095,2581,1354,188733,1411,2012958,97620,525,634172,692,1401921,India,72147030,310,256762,435671,183054,3262,325921,2867809,11193,438799
21,1,Tamil Nadu,Madurai,0,4,0,3038252,363152,2055,62999,1223810,3,1173902,1629,593827,472221,385,28,40179,520,283179,2273430,2532,2847799,325803,250285,618922,168881,714764,762,1354632,841792,708942,1528178,39350,"130,058",90919,228106,54832,0,129,372828,95311,199,10479,6917,41298,1511777,449125,458,754141,7350,23070,1532,32,902704,434208,1010441,37229590,623,92719,47472,913715,491822,180730,139168,30852,1632,279755,552457,50,7653,65204,10,996,678712,305,22,3158,113256,8103,710,532616,502,551839,592723,0,605700,5474,49506,738,228557,153915,8561,37353,154348,16,304,66623,19034,34917440,1854,1482,8602,5622,372,408976,203878,72616,40659,205098,3207,11096,451928,83006,525151,112608,5747,555,980,530152,59023,34097,26772,1683620,47293,2760502,1526,391821,2581,1082,246100,810,1526475,71390,525,453509,692,1049620,India,72147030,310,97711,298527,234611,1171,258941,2398674,8241,417718
22,1,Tamil Nadu,Thanjavur,3,3,0,2405890,222410,1448,34935,944264,3,834484,1629,499235,272623,385,1,40179,231,307799,1790998,1543,2273994,343328,178126,446982,190814,514461,710,974079,397605,522490,1193095,49261,"130,058",97701,137848,24121,0,146,415361,42912,795,21937,4914,30075,1223474,461123,481,555582,6279,4635,1256,32,680483,374666,753372,37229590,620,129913,42853,712017,475525,139595,114151,17231,1474,108700,405697,53,6974,20460,10,996,499900,148,52,2538,77638,10854,370,419605,389,275134,274302,0,445798,1822,49506,348,161750,109324,7394,37353,111423,16,171,59898,2937,34917440,1854,992,2805,1739,187,455062,229203,72616,31686,225859,1831,3561,293596,82659,431983,93957,9827,555,603,374054,59023,13495,18669,1431811,31200,2075870,1064,223044,2581,557,329940,152,1182416,58184,525,373111,692,846734,India,72147030,310,133971,209948,138375,98,180123,1812871,7135,479070
23,1,Tamil Nadu,Thiruvallur,1,1,0,3728104,451321,1374,148885,1495711,3,1247918,1629,643614,636991,385,0,40179,1422,280985,2791721,4419,3297728,374923,303091,772398,143093,805187,1021,1538054,1135784,857364,1925296,66378,"130,058",175520,222750,112276,0,130,270586,174279,951,17057,7731,62993,1852042,610048,539,909400,9615,44284,3693,32,1103563,531907,1119433,37229590,602,73444,78827,1154775,636443,290136,164709,54505,1940,291863,671689,51,10795,63193,10,996,625071,530,51,3672,118838,11779,876,600731,455,786843,732196,0,717165,23551,49506,580,363741,150892,12554,37353,185181,16,474,133464,41640,34917440,1854,1592,18959,23692,472,821646,411120,72616,32054,410526,53570,47243,434491,103687,461918,117828,5948,555,1137,630578,59023,75634,76666,2190050,58240,3325823,1732,621907,2581,1348,151979,412,1876062,93063,525,622789,692,1296010,India,72147030,310,233633,343722,181452,858,321799,2687680,10766,387237
24,1,Tamil Nadu,Tiruchirappalli,0,1,0,2722290,291506,888,47674,1087765,2,1082329,1629,575960,340058,385,33,40179,324,302377,2038981,2411,2526067,362952,223178,537414,190964,556177,739,1213979,634142,592152,1346661,70392,"130,058",70112,233925,49741,0,139,378782,79588,250,12804,6411,34800,1370006,401149,472,651621,6897,7303,628,32,789206,375662,875727,37229590,614,170669,55391,797258,500203,131650,123698,28571,1610,188095,461837,51,7220,37971,10,996,607773,253,18,3060,98241,13913,573,447474,490,398567,423020,0,513890,8784,49506,646,234290,142144,7495,37353,132507,16,566,59769,4714,34917440,1854,1331,4302,9414,329,466561,235771,72616,43903,230790,12369,18198,424773,89376,444023,111432,11815,555,841,447223,59023,30046,29132,1508311,30386,2279413,1450,333478,2581,902,302285,862,1352284,67755,525,418930,692,951216,India,72147030,310,246156,287219,229415,839,205632,2124918,7775,452707
25,1,Tamil Nadu,Tiruvannamalai,0,1,0,2464875,158041,310,40597,909803,2,970072,1629,477668,135162,385,0,40179,232,449825,1626813,1956,2455139,309133,174560,389329,91636,349169,968,1238177,373753,505170,1301347,36454,"130,058",53134,73410,10740,0,149,525063,27529,157,12541,4189,23596,1228986,672427,545,549077,8445,4775,7898,32,738995,401432,710163,37229590,606,292641,19983,683904,536269,268105,126599,7851,1519,47934,382614,9,4166,33865,10,996,496596,110,9,2317,68693,3628,271,423135,324,262010,147061,0,422698,44998,49506,131,138956,96016,9408,37353,90489,16,253,102902,2850,34917440,1854,807,3486,45956,118,565329,282714,72616,27323,282615,32837,90954,499182,105226,442688,83936,2926,555,483,345750,59023,6445,25166,1226698,46720,2294369,798,176242,2581,389,331254,700,1235889,77068,525,343955,692,717010,India,72147030,310,66987,157967,203879,915,165526,1782712,9562,563102
26,1,Tamil Nadu,Viluppuram,1,0,0,3458873,229726,842,59841,1234479,2,1260802,1629,624042,169801,385,18,40179,325,621276,2195776,3476,3430072,351418,246856,547305,133896,459716,1706,1703249,463153,676077,1881463,45680,"130,058",90689,101921,14829,0,368,832213,43311,238,15143,5306,35440,1718054,999902,730,748444,12652,9540,4032,32,1017383,612231,967314,37229590,607,369646,27731,949892,726665,442447,175528,13030,2002,67280,518788,45,7054,57534,10,996,663958,278,27,3043,86811,3534,271,549742,437,307759,159272,0,579796,37289,49506,143,184050,114590,16143,37353,120940,16,190,125683,5283,34917440,1854,1001,6884,37570,118,1015716,504847,72616,27779,510869,35352,74859,685866,154822,646306,102350,1117,555,564,484134,59023,8472,21746,1755624,38237,3174941,1041,228172,2581,389,496584,1555,1740819,107471,525,508930,692,961297,India,72147030,310,138279,134578,202930,1860,222320,2430170,14726,808042
